RAAA#,Sex,AnimalID,Name,DOB,BrdCds,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HG,GM
PM502,,A70 - 2385,HHOLL A70 - ODOHERTY   2385,,,13,-1,54,79,0.16,0.72,26,-3,8,8,20,0.2,0.05,1,-0.2,0,198,46
PM503,,A70 - 8355,HHOLL A70 - FEDDES LIBERATION D108- 8355,,,14,-1.6,54,83,0.19,0.78,27,-3,10,8,22,0.47,0.08,11,-0.15,0.01,219,48
PM504,,A70 - 8269,HHOLL A70 - FEDDES DEFENDER Y17-8269,,,15,-1.5,53,80,0.17,0.91,25,-3,12,8,22,0.45,0.04,-1,-0.11,0.02,224,47
PM505,,A12 - D104,HHOLL A12 - VF ACQUISITION D104,,,14,-1.4,55,82,0.17,0.49,17,-2,12,7,17,0.31,0.06,5,-0.04,0.03,185,48
PM506,,A12 - D172,HHOLL A12 - VF SILVER BOW D172,,,12,-0.1,67,104,0.23,0.81,17,-1,13,8,17,0.32,0.05,13,0.02,0.01,194,50
PM507,?,A12 - D706,HHOLL A12 - DOING RIGHT,,,13,-0.9,55,84,0.18,0.34,19,-4,10,6,18,0.28,0.05,3,-0.17,0.01,186,48
PM508,,A12 - 3036,HHOLL A12 - WOOD EMMETT 3036,,,16,-1.9,55,80,0.15,0.62,16,-1,10,9,18,0.22,0.06,3,-0.14,0.01,189,46
PM509,,A12 - 2385,HHOLL A12 - ODOHERTY   2385,,,12,-0.4,62,90,0.18,0.82,18,-3,8,7,17,0.19,0.05,3,-0.19,0,173,47
PM510,,A12 - 8355,HHOLL A12 - FEDDES LIBERATION D108- 8355,,,13,-0.9,62,95,0.2,0.88,18,-3,10,7,18,0.44,0.08,13,-0.14,0.01,194,49
PM511,,A12 - 8269,HHOLL A12 - FEDDES DEFENDER Y17-8269,,,14,-0.8,62,91,0.18,1,17,-4,12,7,18,0.44,0.04,1,-0.1,0.01,199,48
PM512,,C16 - D104,C16 - VF ACQUISITION D104,,,16,-3.2,48,72,0.15,0.59,19,-2,12,8,18,0.32,0.06,5,-0.04,0.03,194,46
PM513,,C16 - D172,C16 - VF SILVER BOW D172,,,14,-1.8,60,94,0.21,0.91,19,-1,13,9,18,0.33,0.05,14,0.02,0.01,203,49
PM514,,C16 - D706,C16 - DOING RIGHT,,,14,-2.7,48,73,0.16,0.44,21,-4,10,8,19,0.29,0.05,3,-0.17,0.01,195,47
PM515,,C16 - 3036,C16 - WOOD EMMETT 3036,,,17,-3.6,48,70,0.13,0.72,18,-1,10,10,19,0.23,0.06,3,-0.14,0.02,198,45
PM516,,C16 - 2385,C16 - ODOHERTY   2385,,,14,-2.1,55,80,0.16,0.92,20,-3,8,8,18,0.19,0.05,3,-0.19,0,182,45
PM517,,C16 - 8355,C16 - FEDDES LIBERATION D108- 8355,,,14,-2.7,55,84,0.18,0.98,21,-3,10,8,20,0.46,0.08,13,-0.14,0.01,203,48
PM518,,C16 - 8269,C16 - FEDDES DEFENDER Y17-8269,,,16,-2.5,54,81,0.17,1.1,19,-3,12,8,20,0.44,0.04,1,-0.1,0.01,208,47
PM519,,C08 - D104,C08 - VF ACQUISITION D104,,,14,-2.2,48,73,0.15,0.55,21,-3,11,7,15,0.34,0.06,6,-0.02,0.03,161,47
PM520,,C08 - D172,C08 - VF SILVER BOW D172,,,13,-0.9,60,95,0.22,0.87,21,-2,13,8,14,0.34,0.05,15,0.04,0.02,170,49
PM521,,C08 - D706,C08 - DOING RIGHT,,,13,-1.8,48,74,0.16,0.41,23,-5,10,7,15,0.3,0.06,5,-0.15,0.01,162,47
