CowID,BullID,PairID,RAAA#,Sex,AnimalID,Name,DOB,BrdCds,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM
L61 , 9191G,L61 - 9191G,PM758,,L61 - 9191G,HHOLL L61 - LSF SRR CONTROL 9191G,,,141,18,-5.8,53,85,0.2,0.38,29,-2,13,10,17,0.78,0.07,10,-0.01,0.02,76,65
H86 , 9191G,H86 - 9191G,PM296,,H86 - 9191G,HHOLL H86 - LSF SRR CONTROL 9191G,,,151,17,-4.1,58,89,0.2,0.41,25,-2,14,10,19,0.68,0.06,13,0.02,0.02,95,55
K67 , 1181J,K67 - 1181J,PM528,,K67 - 1181J,HHOLL K67 - LSF SRR CHARTER 1181J,,,156,13,-1.3,66,110,0.27,0.8,26,2,12,8,19,0.56,0.07,34,0.09,0.0,83,73
J05 , 9191G,J05 - 9191G,PM450,,J05 - 9191G,HHOLL J05 - LSF SRR CONTROL 9191G,,,156,16,-4.5,65,103,0.24,0.69,29,0,14,10,18,0.81,0.07,17,0.08,0.02,88,69
G11 , D172,G11 - D172,PM222,,G11 - D172,HHOLL G11 - VF SILVER BOW D172,,,150,15,-3.5,56,97,0.26,0.72,21,0,14,9,19,0.47,0.01,15,0.13,0.01,93,57
C16 , D172,C16 - D172,PM47,,C16 - D172,C16 - VF SILVER BOW D172,,,150,14,-2.1,58,93,0.22,0.51,20,-3,13,8,23,0.35,0.0,13,0.07,0.0,111,39
C12 , D172,C12 - D172,PM68,,C12 - D172,C12 - VF SILVER BOW D172,,,136,13,-1.4,62,98,0.23,0.68,26,1,13,7,22,0.35,0.0,14,0.08,0.0,99,37
K03B , 1181J,K03B - 1181J,PM647,,K03B - 1181J,HHOLL K03B - LSF SRR CHARTER 1181J,,,128,15,-3.2,62,101,0.24,0.65,24,0,11,7,16,0.63,0.04,27,0.03,-0.01,57,71
K65 , Z124G,K65 - Z124G,PM643,,K65 - Z124G,HHOLL K65 - LASO SPLASH Z124G,,,113,15,-3.8,56,86,0.19,0.62,29,0,10,7,16,0.69,-0.13,11,0.4,-0.01,52,61
G25 , 9191G,G25 - 9191G,PM233,,G25 - 9191G,HHOLL G25 - LSF SRR CONTROL 9191G,,,155,18,-5.3,57,89,0.2,0.41,27,-1,14,10,20,0.69,0.06,15,0.05,0.02,97,58
F19 , D172,F19 - D172,PM173,,F19 - D172,F19 - VF SILVER BOW D172,,,138,16,-3.5,50,83,0.21,0.42,20,-4,14,10,18,0.41,0.01,13,0.11,0.01,89,49
L88 , 8269,L88 - 8269,PM812,,L88 - 8269,HHOLL L88 - FEDDES DEFENDER Y17-8269,,,101,16,-3.8,57,84,0.17,0.54,28,-6,11,7,16,0.63,-0.04,0,0.01,0.0,62,39
L63 , Z124G,L63 - Z124G,PM769,,L63 - Z124G,HHOLL L63 - LASO SPLASH Z124G,,,119,12,-1.0,66,103,0.23,0.83,31,4,9,6,16,0.69,-0.17,21,0.62,-0.01,47,72
H62 , J490,H62 - J490,PM309,,H62 - J490,HHOLL H62 - BECKTON ORACLE J490 S2,,,125,16,-2.7,54,94,0.25,0.47,22,-1,11,9,17,0.47,0.04,12,0.01,0.01,70,55
H44 , 9191G,H44 - 9191G,PM338,,H44 - 9191G,HHOLL H44 - LSF SRR CONTROL 9191G,,,153,18,-5.6,50,80,0.19,0.34,24,-1,14,11,20,0.69,0.07,11,-0.01,0.02,95,57
K87 , 1278J,K87 - 1278J,PM599,,K87 - 1278J,HHOLL K87 - SLB AUTHORITY 1278J,,,114,14,-2.3,64,93,0.18,0.55,32,-4,8,8,17,0.54,-0.08,12,0.16,-0.02,68,46
J03 , J490,J03 - J490,PM386,,J03 - J490,HHOLL J03 - BECKTON ORACLE J490 S2,,,116,17,-4.2,49,80,0.2,0.25,23,-5,10,9,17,0.5,0.04,5,-0.07,0.01,67,49
C17 , D172,C17 - D172,PM103,,C17 - D172,C17 - VF SILVER BOW D172,,,148,14,-2.2,61,99,0.24,0.63,20,-2,13,9,21,0.38,0.0,16,0.1,0.0,104,44
E30 , J490,E30 - J490,PM141,,E30 - J490,E30 - BECKTON ORACLE J490 S2,,,118,16,-2.8,48,78,0.19,0.17,23,-5,10,9,18,0.35,0.04,10,-0.06,0.0,76,41
L60 , 1181J,L60 - 1181J,PM752,,L60 - 1181J,HHOLL L60 - LSF SRR CHARTER 1181J,,,140,14,-2.7,64,104,0.25,0.79,29,3,11,7,17,0.63,0.02,33,0.21,-0.01,62,78
K06 , 9191G,K06 - 9191G,PM2,,K06 - 9191G,HHOLLK06 - LSF SRR CONTROL 9191G,,,137,16,-4.6,47,73,0.17,0.15,26,-2,13,9,19,0.62,0.05,10,-0.05,0.01,84,54
H42 , 1181J,H42 - 1181J,PM367,,H42 - 1181J,HHOLL H42 - LSF SRR CHARTER 1181J,,,141,15,-3.2,65,105,0.25,0.73,27,1,11,7,18,0.61,0.07,29,0.05,0.0,72,69
D23 , 8269,D23 - 8269,PM133,,D23 - 8269,D23 - FEDDES DEFENDER Y17-8269,,,115,16,-3.3,49,72,0.14,0.33,28,-6,11,8,20,0.46,0.0,-2,-0.05,0.01,88,27
J76 , Z124G,J76 - Z124G,PM377,,J76 - Z124G,HHOLL J76 - LASO SPLASH Z124G,,,124,13,-2.2,53,83,0.19,0.45,29,-1,10,7,15,0.7,-0.09,19,0.37,-0.01,49,75
J10 , 1181J,J10 - 1181J,PM416,,J10 - 1181J,HHOLL J10 - LSF SRR CHARTER 1181J,,,133,15,-3.9,57,95,0.23,0.55,26,1,11,7,18,0.5,0.06,29,0.05,0.0,67,66
